SKU,MMDDYYYY,SumOfNET_QTY,Type,Part Type
38340M844A0,01-04-2006,14492,Seasonal,Wiper
38340M844A0,01-05-2006,30760,Seasonal,Wiper
38340M844A0,01-06-2006,44461,Seasonal,Wiper
38340M844A0,01-07-2006,33386,Seasonal,Wiper
38340M844A0,01-08-2006,18238,Seasonal,Wiper
38340M844A0,01-09-2006,13148,Seasonal,Wiper
38340M844A0,01-10-2006,9458,Seasonal,Wiper
38340M844A0,01-11-2006,10948,Seasonal,Wiper
38340M844A0,01-12-2006,11608,Seasonal,Wiper
38340M844A0,01-01-2007,10300,Seasonal,Wiper
38340M844A0,01-02-2007,11416,Seasonal,Wiper
38340M844A0,01-03-2007,11360,Seasonal,Wiper
38340M844A0,01-04-2007,12224,Seasonal,Wiper
38340M844A0,01-05-2007,24742,Seasonal,Wiper
38340M844A0,01-06-2007,28310,Seasonal,Wiper
38340M844A0,01-07-2007,25594,Seasonal,Wiper
38340M844A0,01-08-2007,18394,Seasonal,Wiper
38340M844A0,01-09-2007,27864,Seasonal,Wiper
38340M844A0,01-10-2007,20864,Seasonal,Wiper
38340M844A0,01-11-2007,5890,Seasonal,Wiper
38340M844A0,01-12-2007,7588,Seasonal,Wiper
38340M844A0,01-01-2008,6542,Seasonal,Wiper
38340M844A0,01-02-2008,7784,Seasonal,Wiper
38340M844A0,01-03-2008,7662,Seasonal,Wiper
38340M844A0,01-04-2008,10560,Seasonal,Wiper
38340M844A0,01-05-2008,21794,Seasonal,Wiper
38340M844A0,01-06-2008,37286,Seasonal,Wiper
38340M844A0,01-07-2008,22990,Seasonal,Wiper
38340M844A0,01-08-2008,20504,Seasonal,Wiper
38340M844A0,01-09-2008,14732,Seasonal,Wiper
38340M844A0,01-10-2008,10548,Seasonal,Wiper
38340M844A0,01-11-2008,10038,Seasonal,Wiper
38340M844A0,01-12-2008,12010,Seasonal,Wiper
38340M844A0,01-01-2009,10224,Seasonal,Wiper
38340M844A0,01-02-2009,8702,Seasonal,Wiper
38340M844A0,01-03-2009,9198,Seasonal,Wiper
38340M844A0,01-04-2009,13576,Seasonal,Wiper
38340M844A0,01-05-2009,25612,Seasonal,Wiper
38340M844A0,01-06-2009,30488,Seasonal,Wiper
38340M844A0,01-07-2009,35034,Seasonal,Wiper
38340M844A0,01-08-2009,18618,Seasonal,Wiper
38340M844A0,01-09-2009,18820,Seasonal,Wiper
38340M844A0,01-10-2009,14742,Seasonal,Wiper
38340M844A0,01-11-2009,12918,Seasonal,Wiper
38340M844A0,01-12-2009,13516,Seasonal,Wiper
38340M844A0,01-01-2010,13940,Seasonal,Wiper
38340M844A0,01-02-2010,10682,Seasonal,Wiper
38340M844A0,01-03-2010,31356,Seasonal,Wiper
